Metabolites,Antimetabolites category,Patient 2556,Patient 2766,Patient 2177,Patient 3196,Patient 3477,Patient 2280,,
"(11Z,14Z,17Z)-eicosatrienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
(13Z)-docosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(13Z)-eicosenoic acid,Discarded fat content,1,1,1,1,1,1,,
(13Z)-eicosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(13Z)-octadecenoic acid,Discarded fat content,1,1,1,1,1,1,,
(13Z)-octadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"(13Z,16Z)-docosadienoic acid",Discarded fat content,1,1,1,1,1,1,,
"(13Z,16Z)-docosadienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
(15Z)-tetracosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-decenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-docosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-dodecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-eicosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-heptenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-hexacosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-hexadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-hexenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-nonenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-octadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-octenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-pentadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-pentenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-tetracosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-tetradecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-tridecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(2E)-undecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(3Z)-dodecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"(4Z,7Z,10Z,13Z,16Z)-DPA",Discarded fat content,1,1,1,1,1,1,,
"(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
(5Z)-dodecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"(5Z,8Z,11Z)-eicosatrienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(5Z,8Z,11Z)-eicosatrienoylcarnitine",Discarded fat content,1,1,1,1,1,1,,
"(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z)-octadecadienoic acid",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z)-octadecadienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z,12Z,15Z,18Z)-TPA",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z,12Z,15Z,18Z,21Z)-THA",Discarded fat content,1,1,1,1,1,1,,
"(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
(7Z)-octadecenoic acid,Discarded fat content,1,1,1,1,1,1,,
(7Z)-octadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
(7Z)-tetradecenoic acid,Discarded fat content,1,1,1,1,1,1,,
(7Z)-tetradecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
"(7Z,10Z,13Z,16Z,19Z)-docosapentaenoylcarnitine",Discarded fat content,0,0,1,1,0,1,,
"(8Z,11Z)-eicosadienoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
