GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000154415,Present,Present,Present,Present,Present,Present
ENSG00000154429,None,Present,None,Present,None,Present
ENSG00000154438,None,None,None,None,None,None
ENSG00000154451,Present,Present,Present,Present,Present,Present
ENSG00000154473,Present,Present,Present,Present,Present,Present
ENSG00000154479,Present,Present,Present,Present,Present,Present
ENSG00000154485,None,None,None,None,None,None
ENSG00000154493,Present,Present,Present,Present,Present,Present
ENSG00000154511,Present,Present,None,Present,Present,None
ENSG00000154529,None,None,None,None,None,None
ENSG00000154537,Present,Present,Present,Present,Present,Present
ENSG00000154545,None,None,None,None,None,None
ENSG00000154548,None,None,None,None,None,None
ENSG00000154553,None,None,None,None,None,None
ENSG00000154556,Present,Present,None,Present,Present,Present
ENSG00000154611,Present,Present,Present,Present,Present,Present
ENSG00000154639,Present,Present,Present,Present,Present,Present
ENSG00000154640,Present,Present,None,Present,None,Present
ENSG00000154642,Present,Present,Present,Present,Present,Present
ENSG00000154645,Present,Present,Present,Present,Present,Present
ENSG00000154646,None,None,None,None,None,None
ENSG00000154654,Present,Present,Present,Present,Present,Present
ENSG00000154678,None,Present,None,None,None,None
ENSG00000154710,Present,Present,Present,Present,Present,Present
ENSG00000154719,None,Present,Present,Present,Present,Present
ENSG00000154723,Present,Present,Present,Present,Present,Present
ENSG00000154727,None,Present,None,None,None,None
ENSG00000154734,None,None,None,None,None,None
ENSG00000154736,None,Present,Present,None,None,None
ENSG00000154743,Present,Present,Present,Present,Present,Present
ENSG00000154760,None,None,None,None,None,None
ENSG00000154764,None,Present,None,None,None,None
ENSG00000154767,Present,Present,Present,Present,Present,Present
ENSG00000154781,Present,Present,Present,Present,Present,Present
ENSG00000154783,None,Present,None,None,None,None
ENSG00000154803,Present,Present,Present,Present,Present,Present
ENSG00000154813,None,Present,None,None,None,None
ENSG00000154822,Present,Present,Present,Present,None,Present
ENSG00000154832,Present,Present,Present,Present,Present,Present
ENSG00000154839,Present,Present,Present,Present,Present,Present
ENSG00000154845,Present,Present,None,Present,Present,Present
ENSG00000154856,Present,Present,None,Present,None,Present
ENSG00000154864,Present,Present,Present,Present,Present,Present
ENSG00000154889,Present,Present,Present,Present,Present,Present
ENSG00000154898,Present,Present,Present,Present,Present,Present
ENSG00000154914,None,Present,None,Present,Present,Present
ENSG00000154917,None,Present,None,None,None,None
ENSG00000154920,Present,None,None,Present,Present,Present
ENSG00000154930,Present,Present,None,Present,Present,Present
ENSG00000154945,Present,Present,None,Present,Present,Present
ENSG00000154957,Present,Present,Present,Present,Present,Present
ENSG00000154978,None,None,None,None,None,None
ENSG00000155008,Present,Present,Present,Present,Present,Present
ENSG00000155011,Present,Present,Present,Present,Present,Present
ENSG00000155016,Present,Present,None,Present,Present,Present
ENSG00000155026,Present,Present,Present,Present,Present,Present
ENSG00000155034,Present,Present,None,None,None,None
ENSG00000155066,None,None,None,None,None,None
ENSG00000155085,Present,Present,Present,Present,Present,Present
ENSG00000155093,None,Present,Present,None,None,None
ENSG00000155096,Present,Present,Present,Present,Present,Present
ENSG00000155097,Present,Present,Present,Present,Present,None
ENSG00000155099,Present,Present,Present,Present,Present,Present
ENSG00000155100,Present,Present,Present,Present,Present,Present
ENSG00000155111,Present,Present,None,Present,Present,Present
ENSG00000155130,None,Present,None,Present,None,None
ENSG00000155189,None,Present,Present,None,Present,Present
ENSG00000155249,Present,Present,Present,Present,None,Present
ENSG00000155252,None,Present,Present,Present,Present,None
ENSG00000155256,Present,Present,Present,None,Present,Present
ENSG00000155265,Present,Present,Present,None,Present,Present
ENSG00000155269,None,None,None,None,None,None
ENSG00000155275,None,None,None,None,None,None
ENSG00000155282,Present,Present,None,Present,Present,Present
ENSG00000155304,Present,Present,Present,Present,Present,None
ENSG00000155307,None,Present,None,Present,None,None
ENSG00000155313,Present,Present,Present,Present,Present,Present
ENSG00000155324,Present,Present,Present,Present,Present,Present
ENSG00000155329,None,None,None,None,None,None
ENSG00000155330,None,None,None,None,None,None
ENSG00000155366,None,None,None,None,None,None
ENSG00000155367,None,None,None,Present,Present,None
ENSG00000155368,Present,Present,Present,Present,Present,Present
ENSG00000155380,Present,Present,Present,Present,None,Present
ENSG00000155393,Present,None,None,None,None,None
ENSG00000155438,None,Present,None,Present,None,None
ENSG00000155463,Present,Present,Present,Present,Present,Present
ENSG00000155465,None,None,Present,Present,None,None
ENSG00000155495,Present,Present,None,None,None,Present
ENSG00000155506,None,Present,None,Present,None,None
ENSG00000155508,Present,Present,Present,Present,Present,Present
ENSG00000155511,None,None,None,None,None,None
ENSG00000155530,Present,Present,Present,Present,Present,Present
ENSG00000155542,None,None,None,Present,None,None
ENSG00000155561,None,None,None,None,None,None
ENSG00000155592,Present,Present,None,Present,Present,None
ENSG00000155629,None,None,None,None,None,None
ENSG00000155636,None,None,None,None,None,None
ENSG00000155640,Present,Present,Present,Present,Present,Present
ENSG00000155657,Present,Present,None,None,None,None
ENSG00000155659,None,Present,None,None,None,None
ENSG00000155660,Present,Present,Present,Present,Present,Present
ENSG00000155666,Present,Present,Present,Present,Present,None
ENSG00000155714,Present,Present,Present,Present,Present,Present
ENSG00000155719,None,None,None,None,None,None
ENSG00000155729,None,Present,Present,Present,None,None
ENSG00000155744,Present,Present,Present,Present,Present,Present
ENSG00000155749,None,None,Present,None,None,Present
ENSG00000155754,None,None,None,Present,None,None
ENSG00000155761,Present,Present,Present,Present,Present,Present
ENSG00000155792,Present,Present,Present,Present,Present,Present
ENSG00000155816,None,None,None,None,None,None
ENSG00000155827,Present,Present,None,Present,Present,Present
ENSG00000155849,None,None,Present,None,None,Present
ENSG00000155850,Present,Present,Present,Present,Present,Present
ENSG00000155858,Present,None,None,None,None,None
ENSG00000155868,Present,Present,Present,Present,Present,Present
ENSG00000155875,None,None,None,Present,Present,Present
ENSG00000155876,Present,Present,Present,Present,Present,Present
ENSG00000155890,Present,Present,Present,Present,Present,Present
ENSG00000155893,Present,Present,Present,Present,Present,Present
ENSG00000155897,Present,Present,Present,Present,Present,Present
ENSG00000155903,Present,Present,Present,Present,Present,Present
ENSG00000155906,Present,Present,Present,Present,Present,Present
ENSG00000155926,None,None,None,None,None,None
ENSG00000155959,Present,None,Present,Present,Present,Present
ENSG00000155961,None,None,None,None,None,None
ENSG00000155966,Present,Present,Present,Present,Present,Present
ENSG00000155970,Present,Present,Present,Present,Present,Present
ENSG00000155974,Present,Present,None,Present,Present,Present
ENSG00000155975,Present,Present,Present,Present,Present,Present
ENSG00000155980,Present,Present,Present,None,None,Present
ENSG00000155984,Present,None,None,None,None,Present
ENSG00000156006,Present,Present,Present,Present,Present,Present
ENSG00000156009,None,Present,None,None,None,None
ENSG00000156011,None,None,None,None,None,None
ENSG00000156017,None,Present,Present,Present,Present,Present
ENSG00000156026,None,Present,Present,Present,Present,Present
ENSG00000156030,Present,Present,Present,Present,Present,Present
ENSG00000156042,None,None,None,Present,Present,None
ENSG00000156049,None,None,None,Present,None,None
ENSG00000156050,Present,Present,Present,Present,Present,Present
ENSG00000156052,Present,Present,Present,Present,Present,Present
ENSG00000156076,None,Present,Present,Present,Present,Present
ENSG00000156096,Present,Present,Present,Present,Present,Present
ENSG00000156097,Present,Present,Present,Present,Present,None
ENSG00000156103,None,None,None,None,None,None
ENSG00000156110,Present,Present,Present,Present,Present,Present
ENSG00000156140,Present,Present,Present,Present,Present,Present
ENSG00000156162,Present,Present,None,Present,None,Present
ENSG00000156170,Present,Present,Present,Present,Present,Present
ENSG00000156171,Present,Present,None,None,Present,Present
ENSG00000156172,None,None,None,None,None,None
ENSG00000156194,None,Present,None,Present,Present,None
ENSG00000156206,None,None,None,None,None,None
ENSG00000156218,None,Present,Present,Present,Present,Present
ENSG00000156219,None,None,None,None,None,None
ENSG00000156232,Present,Present,None,Present,Present,None
ENSG00000156234,None,None,Present,None,None,None
ENSG00000156239,Present,Present,Present,Present,Present,Present
ENSG00000156253,None,None,None,None,None,None
ENSG00000156256,None,Present,None,None,Present,Present
ENSG00000156261,Present,Present,Present,Present,Present,Present
ENSG00000156265,Present,Present,None,Present,Present,None
ENSG00000156269,None,None,None,None,None,None
ENSG00000156273,None,None,None,None,None,None
ENSG00000156282,Present,Present,Present,Present,Present,Present
ENSG00000156298,None,None,None,None,None,None
ENSG00000156299,None,Present,Present,Present,Present,Present
ENSG00000156304,Present,Present,None,Present,Present,Present
ENSG00000156313,Present,Present,Present,Present,Present,Present
ENSG00000156345,Present,Present,Present,Present,Present,Present
ENSG00000156374,None,None,None,None,None,Present
ENSG00000156384,None,None,None,None,None,None
ENSG00000156395,Present,None,None,None,None,Present
ENSG00000156398,Present,Present,Present,Present,Present,Present
ENSG00000156413,None,None,None,None,None,None
ENSG00000156414,Present,Present,None,Present,Present,Present
ENSG00000156427,None,Present,None,None,None,None
ENSG00000156453,Present,Present,Present,Present,Present,Present
ENSG00000156463,None,Present,None,Present,Present,Present
ENSG00000156466,None,None,None,None,None,None
ENSG00000156467,Present,Present,Present,Present,Present,Present
ENSG00000156469,Present,Present,Present,Present,Present,Present
ENSG00000156471,Present,Present,Present,Present,None,Present
ENSG00000156475,Present,None,Present,Present,None,Present
ENSG00000156482,Present,Present,Present,Present,Present,Present
ENSG00000156486,Present,Present,Present,Present,Present,Present
ENSG00000156502,Present,Present,Present,Present,None,Present
ENSG00000156504,None,None,None,None,None,None
ENSG00000156508,Present,Present,Present,None,Present,Present
ENSG00000156509,Present,Present,Present,Present,Present,Present
ENSG00000156510,Present,Present,Present,Present,Present,Present
ENSG00000156515,Present,Present,Present,Present,Present,Present
ENSG00000156521,None,Present,None,None,Present,Present
ENSG00000156531,Present,Present,Present,Present,Present,Present
ENSG00000156535,None,None,None,None,None,None
ENSG00000156564,None,Present,None,Present,Present,None
ENSG00000156574,Present,Present,None,Present,Present,Present
ENSG00000156587,Present,Present,Present,Present,Present,Present
ENSG00000156599,Present,Present,Present,Present,Present,Present
ENSG00000156603,Present,Present,Present,Present,Present,Present
ENSG00000156639,None,None,None,None,None,None
ENSG00000156642,None,None,None,None,None,None
ENSG00000156650,Present,Present,Present,Present,Present,Present
ENSG00000156671,None,None,None,None,None,None
ENSG00000156675,Present,Present,Present,Present,Present,Present
ENSG00000156687,Present,None,Present,None,None,None
ENSG00000156697,None,None,None,None,None,None
ENSG00000156709,Present,Present,Present,Present,Present,Present
ENSG00000156711,None,Present,Present,Present,Present,Present
ENSG00000156735,Present,Present,Present,Present,Present,Present
ENSG00000156738,None,None,None,None,None,None
ENSG00000156787,Present,Present,None,None,Present,Present
ENSG00000156795,Present,Present,Present,Present,None,None
ENSG00000156802,Present,Present,Present,Present,Present,Present
ENSG00000156860,None,None,None,None,None,None
ENSG00000156869,Present,Present,Present,Present,Present,Present
ENSG00000156876,Present,Present,Present,Present,None,Present
ENSG00000156885,None,None,None,None,None,Present
ENSG00000156886,None,None,None,None,Present,None
ENSG00000156920,Present,Present,Present,Present,Present,Present
ENSG00000156928,Present,Present,Present,Present,Present,Present
ENSG00000156931,Present,Present,Present,Present,Present,Present
ENSG00000156958,Present,None,None,Present,None,None
ENSG00000156959,None,Present,Present,Present,Present,None
ENSG00000156966,None,Present,None,Present,Present,None
ENSG00000156968,Present,Present,Present,Present,Present,Present
ENSG00000156970,Present,Present,Present,Present,Present,Present
ENSG00000156973,Present,Present,Present,Present,Present,Present
ENSG00000156976,Present,Present,Present,Present,Present,Present
ENSG00000156983,Present,Present,Present,Present,Present,Present
ENSG00000156990,None,None,Present,Present,None,None
ENSG00000157005,None,None,None,None,None,None
ENSG00000157014,None,Present,None,Present,Present,None
ENSG00000157017,Present,Present,Present,Present,Present,Present
ENSG00000157020,None,None,None,None,None,None
ENSG00000157036,Present,Present,Present,Present,Present,Present
ENSG00000157045,None,None,None,None,None,None
ENSG00000157060,None,Present,None,Present,Present,Present
ENSG00000157064,Present,Present,None,Present,Present,Present
ENSG00000157077,None,None,None,None,None,None
ENSG00000157087,Present,Present,Present,Present,Present,Present
ENSG00000157093,Present,Present,Present,Present,Present,Present
ENSG00000157103,Present,Present,Present,Present,Present,None
ENSG00000157106,Present,Present,None,Present,Present,None
ENSG00000157107,Present,Present,Present,Present,Present,Present
ENSG00000157111,Present,Present,None,Present,Present,Present
ENSG00000157119,Present,Present,None,Present,Present,Present
ENSG00000157131,None,Present,None,None,None,None
ENSG00000157150,Present,Present,Present,Present,Present,Present
ENSG00000157168,None,Present,Present,None,None,Present
ENSG00000157181,Present,Present,Present,Present,None,Present
ENSG00000157184,Present,Present,None,Present,Present,Present
ENSG00000157191,None,Present,None,None,None,None
ENSG00000157211,None,None,None,None,None,None
ENSG00000157212,Present,None,None,Present,None,Present
ENSG00000157214,Present,Present,Present,Present,Present,Present
ENSG00000157219,None,Present,None,None,None,None
ENSG00000157224,None,Present,Present,Present,Present,Present
ENSG00000157227,Present,None,None,Present,None,None
ENSG00000157240,Present,Present,Present,Present,Present,Present
ENSG00000157259,Present,Present,None,Present,Present,Present
ENSG00000157303,Present,Present,Present,None,Present,Present
ENSG00000157315,None,None,Present,None,None,None
ENSG00000157322,None,None,None,None,None,None
ENSG00000157326,Present,None,None,Present,None,Present
ENSG00000157330,Present,Present,Present,Present,Present,Present
ENSG00000157335,None,None,None,None,None,None
ENSG00000157343,None,None,None,None,Present,None
ENSG00000157349,Present,Present,Present,Present,Present,Present
ENSG00000157350,None,Present,None,None,Present,None
ENSG00000157353,None,None,None,Present,None,None
ENSG00000157379,Present,Present,Present,Present,Present,Present
ENSG00000157388,Present,Present,Present,Present,Present,Present
ENSG00000157404,None,None,None,None,None,None
ENSG00000157423,None,Present,None,None,None,None
ENSG00000157426,Present,Present,Present,Present,Present,Present
ENSG00000157429,None,Present,None,Present,None,None
ENSG00000157445,Present,Present,None,Present,Present,Present
ENSG00000157450,Present,Present,Present,Present,Present,Present
ENSG00000157456,Present,Present,None,Present,Present,Present
ENSG00000157470,Present,Present,Present,Present,Present,Present
ENSG00000157483,None,Present,Present,None,None,None
ENSG00000157500,Present,None,None,None,Present,None
ENSG00000157502,None,Present,Present,Present,Present,Present
ENSG00000157510,Present,Present,Present,Present,Present,Present
ENSG00000157514,None,None,None,None,None,None
ENSG00000157538,Present,Present,Present,Present,Present,Present
ENSG00000157540,Present,Present,Present,Present,Present,Present
ENSG00000157542,Present,Present,Present,Present,Present,Present
ENSG00000157551,Present,Present,Present,Present,Present,Present
ENSG00000157554,Present,Present,Present,Present,Present,Present
ENSG00000157557,Present,Present,Present,Present,Present,Present
ENSG00000157578,None,None,None,None,None,None
ENSG00000157593,None,Present,Present,Present,Present,Present
ENSG00000157600,None,None,None,None,None,None
ENSG00000157601,Present,Present,Present,Present,Present,Present
ENSG00000157613,Present,Present,Present,Present,Present,Present
ENSG00000157617,Present,Present,Present,Present,Present,Present
ENSG00000157625,None,Present,Present,Present,Present,Present
ENSG00000157637,Present,Present,Present,Present,Present,Present
ENSG00000157653,Present,Present,Present,Present,Present,Present
ENSG00000157657,Present,Present,Present,Present,Present,Present
ENSG00000157680,None,None,None,None,None,None
ENSG00000157693,Present,Present,Present,Present,Present,Present
ENSG00000157703,Present,Present,Present,Present,Present,Present
ENSG00000157734,None,None,Present,Present,None,None
ENSG00000157741,None,Present,None,None,None,Present
ENSG00000157764,Present,Present,None,Present,Present,Present
ENSG00000157765,None,None,None,None,None,None
ENSG00000157766,None,Present,Present,Present,None,None
ENSG00000157778,Present,Present,Present,Present,Present,Present
ENSG00000157782,Present,Present,Present,Present,Present,Present
ENSG00000157796,Present,Present,Present,Present,Present,Present
ENSG00000157800,None,None,None,None,None,None
ENSG00000157823,None,None,None,None,Present,None
ENSG00000157827,Present,Present,Present,Present,Present,Present
ENSG00000157828,Present,Present,Present,Present,Present,Present
ENSG00000157837,None,None,None,None,None,None
ENSG00000157851,None,None,None,None,None,None
ENSG00000157856,Present,None,None,None,Present,None
ENSG00000157869,Present,Present,None,Present,Present,Present
ENSG00000157870,Present,Present,Present,Present,Present,Present
ENSG00000157873,Present,Present,None,None,None,None
ENSG00000157881,Present,Present,Present,Present,Present,None
ENSG00000157884,Present,Present,Present,Present,Present,Present
ENSG00000157890,Present,Present,Present,Present,Present,Present
ENSG00000157895,Present,Present,Present,Present,Present,Present
ENSG00000157911,None,None,None,None,None,None
ENSG00000157916,Present,Present,None,None,Present,Present
ENSG00000157933,None,Present,None,Present,Present,None
ENSG00000157950,Present,Present,Present,Present,Present,Present
ENSG00000157954,None,Present,Present,Present,None,None
ENSG00000157978,None,None,None,None,None,None
ENSG00000157985,None,None,None,None,None,None
ENSG00000157992,Present,None,None,None,None,None
ENSG00000157999,Present,Present,Present,Present,Present,Present
ENSG00000158006,Present,Present,Present,Present,Present,Present
ENSG00000158008,Present,Present,Present,Present,Present,Present
ENSG00000158014,None,Present,None,Present,None,None
ENSG00000158019,Present,Present,Present,Present,Present,Present
ENSG00000158023,Present,Present,Present,Present,Present,Present
ENSG00000158042,Present,Present,Present,Present,Present,Present
ENSG00000158050,None,None,Present,Present,None,None
ENSG00000158055,None,None,None,None,Present,None
ENSG00000158062,Present,Present,Present,Present,Present,Present
ENSG00000158077,None,None,None,Present,None,None
ENSG00000158079,Present,Present,None,None,Present,Present
ENSG00000158089,Present,Present,None,Present,Present,Present
ENSG00000158092,None,None,Present,None,None,None
ENSG00000158104,Present,Present,Present,Present,Present,Present
ENSG00000158106,Present,Present,Present,Present,Present,Present
ENSG00000158113,Present,Present,Present,Present,Present,Present
ENSG00000158122,Present,Present,Present,Present,Present,Present
ENSG00000158125,Present,Present,Present,Present,Present,Present
ENSG00000158156,None,None,None,None,Present,None
ENSG00000158158,None,None,None,None,None,None
ENSG00000158161,None,None,None,None,None,None
ENSG00000158163,Present,Present,None,Present,None,None
ENSG00000158169,Present,Present,Present,Present,Present,Present
ENSG00000158186,Present,Present,Present,Present,Present,Present
ENSG00000158195,None,Present,None,Present,None,None
ENSG00000158201,Present,Present,None,Present,None,Present
ENSG00000158220,None,None,None,None,None,None
ENSG00000158234,Present,Present,Present,Present,Present,Present
ENSG00000158258,Present,Present,None,Present,None,None
ENSG00000158270,None,None,Present,Present,None,None
ENSG00000158286,Present,Present,Present,Present,Present,Present
ENSG00000158290,Present,Present,Present,Present,Present,Present
ENSG00000158292,None,None,None,None,None,None
ENSG00000158296,Present,Present,None,Present,Present,Present
ENSG00000158301,None,Present,None,None,None,None
ENSG00000158315,None,None,None,None,None,Present
ENSG00000158321,None,None,None,None,None,None
ENSG00000158352,Present,Present,Present,Present,Present,Present
ENSG00000158373,Present,Present,Present,Present,Present,Present
ENSG00000158402,Present,Present,Present,Present,Present,Present
ENSG00000158406,Present,Present,Present,Present,Present,Present
ENSG00000158411,Present,Present,Present,Present,Present,Present
ENSG00000158417,Present,Present,None,None,Present,Present
ENSG00000158423,Present,Present,Present,None,None,Present
ENSG00000158428,Present,Present,None,Present,Present,Present
ENSG00000158445,Present,Present,Present,Present,Present,Present
ENSG00000158457,None,Present,None,Present,None,None
ENSG00000158458,Present,None,Present,Present,None,None
ENSG00000158473,None,None,None,None,None,None
ENSG00000158477,None,Present,None,Present,Present,None
ENSG00000158480,Present,Present,None,Present,Present,Present
ENSG00000158481,None,None,Present,None,None,None
ENSG00000158485,Present,Present,Present,Present,Present,Present
ENSG00000158516,None,None,None,None,None,None
ENSG00000158517,None,None,None,None,None,None
ENSG00000158525,None,Present,None,Present,Present,None
ENSG00000158526,None,Present,None,None,None,None
ENSG00000158528,Present,Present,Present,Present,Present,Present
ENSG00000158545,Present,Present,Present,Present,Present,Present
ENSG00000158552,Present,Present,Present,Present,Present,Present
ENSG00000158553,Present,Present,Present,Present,Present,Present
ENSG00000158560,None,None,None,None,None,None
ENSG00000158571,None,Present,Present,Present,Present,Present
ENSG00000158578,Present,Present,Present,Present,Present,Present
ENSG00000158604,Present,Present,Present,Present,Present,Present
ENSG00000158615,None,None,None,None,None,None
ENSG00000158623,Present,Present,Present,Present,Present,Present
ENSG00000158636,Present,Present,Present,Present,Present,Present
ENSG00000158639,Present,Present,Present,Present,Present,Present
ENSG00000158669,None,Present,None,Present,Present,Present
ENSG00000158683,None,Present,Present,Present,None,Present
ENSG00000158691,None,Present,None,Present,None,None
ENSG00000158710,None,None,None,None,None,None
ENSG00000158711,Present,Present,None,Present,Present,Present
ENSG00000158715,None,None,None,None,None,None
ENSG00000158716,Present,Present,None,Present,Present,Present
ENSG00000158717,None,None,None,None,None,None
ENSG00000158747,Present,Present,Present,Present,Present,Present
ENSG00000158764,None,None,None,None,None,None
ENSG00000158769,Present,Present,Present,Present,Present,Present
ENSG00000158773,None,None,None,None,None,None
ENSG00000158792,Present,Present,Present,Present,Present,Present
ENSG00000158793,Present,Present,Present,Present,Present,Present
ENSG00000158805,Present,Present,Present,Present,None,Present
ENSG00000158806,Present,Present,Present,Present,Present,Present
ENSG00000158813,Present,Present,Present,Present,Present,Present
ENSG00000158815,Present,Present,Present,Present,Present,Present
ENSG00000158816,Present,Present,Present,Present,Present,Present
ENSG00000158828,Present,Present,Present,Present,Present,Present
ENSG00000158850,Present,Present,None,Present,Present,Present
ENSG00000158856,None,None,Present,None,None,Present
ENSG00000158859,Present,Present,Present,Present,Present,Present
ENSG00000158863,Present,Present,Present,Present,Present,Present
ENSG00000158865,Present,Present,Present,Present,Present,None
ENSG00000158869,Present,Present,Present,Present,None,Present
ENSG00000158874,None,None,None,None,None,None
ENSG00000158882,None,None,None,None,Present,None
ENSG00000158901,None,None,None,None,None,None
ENSG00000158941,Present,Present,Present,Present,Present,Present
ENSG00000158966,Present,Present,Present,Present,Present,Present
ENSG00000158985,None,None,None,None,Present,None
ENSG00000158987,Present,Present,Present,Present,Present,Present
ENSG00000159023,None,None,None,None,None,None
ENSG00000159055,Present,Present,Present,Present,Present,Present
ENSG00000159063,Present,Present,Present,Present,Present,Present
ENSG00000159069,Present,Present,Present,Present,Present,Present
ENSG00000159079,None,Present,Present,Present,Present,None
ENSG00000159082,None,None,None,None,Present,None
ENSG00000159086,Present,Present,Present,Present,Present,Present
ENSG00000159110,None,Present,None,Present,None,None
ENSG00000159111,Present,Present,Present,Present,Present,Present
ENSG00000159123,None,Present,None,None,Present,None
ENSG00000159128,None,None,Present,Present,None,None
ENSG00000159131,Present,Present,Present,Present,Present,Present
ENSG00000159140,Present,Present,None,Present,Present,Present
ENSG00000159147,Present,Present,Present,Present,None,None
ENSG00000159164,None,None,None,None,None,None
ENSG00000159166,None,Present,None,None,None,None
ENSG00000159167,Present,Present,None,Present,Present,None
ENSG00000159173,None,Present,None,Present,None,None
ENSG00000159176,None,None,None,None,None,None
ENSG00000159182,None,None,None,None,None,None
ENSG00000159184,None,None,None,None,None,None
ENSG00000159189,None,Present,Present,Present,Present,Present
ENSG00000159197,None,None,None,None,Present,None
ENSG00000159200,Present,Present,Present,Present,Present,Present
ENSG00000159202,Present,Present,None,Present,None,None
ENSG00000159208,None,Present,None,Present,Present,Present
ENSG00000159214,None,None,None,None,None,None
ENSG00000159216,None,Present,None,None,None,None
ENSG00000159217,Present,Present,Present,Present,Present,Present
ENSG00000159224,Present,Present,None,Present,Present,Present
ENSG00000159228,Present,Present,Present,Present,Present,Present
ENSG00000159231,Present,Present,Present,Present,Present,Present
ENSG00000159239,None,None,None,Present,None,None
ENSG00000159248,None,Present,None,None,None,None
ENSG00000159251,Present,None,None,Present,Present,None
ENSG00000159256,Present,Present,Present,Present,Present,Present
ENSG00000159259,Present,Present,Present,Present,Present,Present
ENSG00000159263,Present,Present,Present,Present,Present,Present
ENSG00000159267,Present,Present,Present,Present,Present,Present
ENSG00000159289,Present,None,None,Present,None,None
ENSG00000159307,None,None,None,None,None,None
ENSG00000159314,None,None,None,None,None,None
ENSG00000159322,Present,Present,Present,Present,Present,Present
ENSG00000159335,Present,Present,None,None,Present,None
ENSG00000159337,None,None,None,None,None,None
ENSG00000159339,None,None,None,None,None,None
ENSG00000159346,Present,Present,None,Present,Present,Present
ENSG00000159348,Present,Present,Present,Present,Present,Present
ENSG00000159352,Present,Present,Present,Present,Present,Present
ENSG00000159363,Present,Present,Present,Present,Present,Present
ENSG00000159374,Present,Present,None,Present,Present,Present
ENSG00000159377,Present,Present,Present,Present,Present,Present
ENSG00000159387,Present,Present,Present,Present,Present,Present
ENSG00000159388,None,None,None,None,None,None
ENSG00000159398,Present,Present,Present,Present,Present,Present
ENSG00000159399,Present,None,None,Present,Present,None
ENSG00000159403,Present,Present,Present,Present,Present,Present
ENSG00000159409,Present,None,None,Present,None,Present
ENSG00000159423,Present,Present,Present,Present,Present,Present
ENSG00000159433,None,Present,Present,Present,None,None
ENSG00000159445,Present,Present,Present,Present,Present,Present
ENSG00000159450,Present,Present,None,Present,Present,Present
ENSG00000159459,None,None,None,None,None,Present
ENSG00000159461,Present,Present,Present,Present,Present,Present
ENSG00000159479,Present,Present,Present,Present,Present,Present
ENSG00000159496,Present,None,None,None,None,None
ENSG00000159527,None,Present,Present,Present,None,Present
ENSG00000159579,Present,Present,Present,Present,Present,Present
ENSG00000159588,None,None,None,Present,Present,Present
ENSG00000159592,Present,Present,Present,Present,Present,Present
ENSG00000159593,Present,Present,Present,Present,Present,Present
ENSG00000159596,None,None,None,None,None,None
ENSG00000159618,Present,Present,None,Present,Present,Present
ENSG00000159625,Present,Present,Present,Present,Present,Present
ENSG00000159640,None,None,Present,None,None,None
ENSG00000159648,Present,Present,Present,Present,Present,Present
ENSG00000159650,Present,Present,Present,Present,Present,Present
ENSG00000159658,Present,Present,Present,Present,Present,Present
ENSG00000159674,Present,Present,Present,Present,None,Present
ENSG00000159685,Present,Present,Present,Present,Present,Present
ENSG00000159692,None,Present,Present,Present,Present,None
ENSG00000159713,None,None,None,None,None,None
ENSG00000159714,Present,Present,Present,Present,Present,Present
ENSG00000159720,None,Present,None,Present,None,None
ENSG00000159723,None,None,None,Present,None,None
ENSG00000159733,None,None,None,Present,None,None
ENSG00000159753,None,None,None,None,None,None
ENSG00000159761,Present,Present,Present,None,Present,Present
ENSG00000159763,None,None,None,None,None,None
ENSG00000159784,None,None,None,None,Present,None
ENSG00000159792,Present,Present,Present,Present,Present,Present
ENSG00000159840,None,Present,Present,Present,Present,Present
ENSG00000159842,Present,Present,Present,Present,Present,Present
ENSG00000159871,None,Present,None,None,None,None
ENSG00000159873,None,None,None,None,None,None
ENSG00000159884,None,Present,None,Present,Present,None
ENSG00000159885,None,None,None,None,None,None
ENSG00000159899,Present,Present,Present,Present,Present,Present
ENSG00000159905,Present,Present,Present,Present,Present,Present
ENSG00000159915,None,Present,None,None,None,None
ENSG00000159917,None,None,None,None,None,None
ENSG00000159921,Present,Present,Present,Present,Present,Present
ENSG00000159958,None,Present,Present,None,None,None
ENSG00000160007,Present,Present,Present,Present,Present,Present
ENSG00000160014,None,None,None,None,None,None
ENSG00000160049,Present,Present,None,Present,Present,Present
ENSG00000160050,Present,Present,Present,Present,Present,Present
ENSG00000160051,None,None,None,Present,Present,Present
ENSG00000160055,Present,Present,None,Present,Present,Present
ENSG00000160058,Present,Present,Present,Present,Present,Present
ENSG00000160062,Present,Present,None,Present,Present,Present
ENSG00000160075,Present,Present,Present,Present,Present,Present
ENSG00000160087,None,None,None,None,None,None
ENSG00000160111,Present,Present,Present,Present,Present,Present
ENSG00000160117,None,None,None,Present,Present,None
ENSG00000160124,Present,Present,Present,Present,Present,Present
ENSG00000160131,Present,Present,None,None,Present,None
ENSG00000160145,Present,Present,Present,Present,Present,Present
ENSG00000160161,Present,Present,Present,Present,Present,Present
ENSG00000160179,None,None,None,None,Present,None
ENSG00000160180,None,None,None,None,None,None
ENSG00000160181,None,None,None,None,None,None
ENSG00000160182,None,None,None,None,None,None
ENSG00000160183,Present,Present,Present,Present,Present,Present
