"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"1205276","ENSG00000204695","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1205355","ENSG00000204709","liver","hepatocytes","Present","APE","Uncertain","Not detected",NA,NA,NA
"1205436","ENSG00000204710","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1205515","ENSG00000204711","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1205594","ENSG00000204713","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1205671","ENSG00000204740","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"1205750","ENSG00000204752","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1205831","ENSG00000204764","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1205912","ENSG00000204767","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1205992","ENSG00000204775","liver","hepatocytes","Present","APE","Supportive","Not detected",NA,NA,NA
"1206068","ENSG00000204779","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1206147","ENSG00000204790","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1206224","ENSG00000204793","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1206304","ENSG00000204814","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1206385","ENSG00000204822","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1206464","ENSG00000204828","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1206544","ENSG00000204842","liver","hepatocytes","Present","APE","Supportive","Present","Present",NA,NA
"1206625","ENSG00000204843","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1206706","ENSG00000204850","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1206787","ENSG00000204851","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1206866","ENSG00000204852","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1206945","ENSG00000204856","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1207026","ENSG00000204859","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
