GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000176853,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000176907,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000176912,Negative,Moderate,Weak,Strong,Negative,Negative
ENSG00000176974,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000176978,Moderate,Moderate,Moderate,Negative,Strong,Moderate
ENSG00000176979,Negative,Negative,Negative,Moderate,Weak,Negative
ENSG00000176986,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000176988,Weak,Negative,Negative,Weak,Negative,Negative
ENSG00000176994,Negative,Strong,Negative,Moderate,Weak,Moderate
ENSG00000177054,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000177058,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000177106,Moderate,Moderate,Moderate,Weak,Weak,Weak
ENSG00000177125,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000177143,Moderate,Negative,Negative,Moderate,Negative,Moderate
ENSG00000177181,Weak,Weak,Weak,Moderate,Weak,Weak
ENSG00000177238,Negative,Negative,Negative,Negative,Negative,Moderate
ENSG00000177291,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000177363,Negative,Moderate,Negative,Weak,Weak,Weak
ENSG00000177409,Strong,Strong,Strong,Strong,Moderate,Negative
ENSG00000177414,Moderate,Strong,Strong,Moderate,Strong,Strong
ENSG00000177459,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000177468,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000177494,Negative,Moderate,Negative,Negative,Moderate,Negative
ENSG00000177542,Strong,Strong,Negative,Moderate,Moderate,Moderate
ENSG00000177565,Weak,Moderate,Negative,Weak,Moderate,Negative
ENSG00000177570,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000177602,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000177663,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000177692,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000177694,Negative,Negative,Moderate,Weak,Weak,Negative
ENSG00000177728,Strong,Strong,Moderate,Weak,Moderate,Strong
ENSG00000177752,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000177807,Strong,Strong,Strong,Strong,Strong,Weak
ENSG00000177842,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000177854,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000177888,Moderate,Strong,Moderate,Moderate,Weak,Moderate
ENSG00000177932,Strong,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000177943,Weak,Moderate,Weak,Weak,Weak,Weak
ENSG00000177947,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000177992,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000178015,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000178028,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000178033,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000178038,Negative,Weak,Negative,Moderate,Negative,Weak
ENSG00000178078,Moderate,Strong,Strong,Weak,Moderate,Negative
ENSG00000178125,Negative,Weak,Negative,Moderate,Moderate,Moderate
ENSG00000178150,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000178177,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000178199,Negative,Negative,Negative,Weak,Weak,Weak
ENSG00000178202,Strong,Moderate,Strong,Negative,Negative,Moderate
ENSG00000178209,Negative,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000178222,Negative,Weak,Weak,Moderate,Negative,Negative
ENSG00000178226,Moderate,Moderate,Negative,Moderate,Negative,Weak
ENSG00000178229,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000178338,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000178372,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000178381,Strong,Strong,Moderate,Strong,Moderate,Strong
ENSG00000178394,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000178395,Negative,Weak,Moderate,Weak,Weak,Weak
ENSG00000178404,Negative,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000178409,Moderate,Moderate,Strong,Strong,Moderate,Moderate
ENSG00000178425,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000178460,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000178502,Moderate,Moderate,Moderate,Weak,Weak,Moderate
ENSG00000178538,Negative,Weak,Weak,Weak,Negative,Negative
ENSG00000178568,Weak,Negative,Weak,Moderate,Moderate,Weak
ENSG00000178573,Moderate,Weak,Moderate,Weak,Moderate,Negative
ENSG00000178607,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000178662,Strong,Strong,Moderate,Strong,Moderate,Strong
ENSG00000178685,Negative,Negative,Negative,Moderate,Moderate,Negative
ENSG00000178694,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000178719,Moderate,Strong,Weak,Moderate,Weak,Moderate
ENSG00000178741,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000178750,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000178796,Moderate,Moderate,Strong,Strong,Weak,Strong
ENSG00000178803,Moderate,Moderate,Negative,Weak,Moderate,Negative
ENSG00000178804,Negative,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000178809,Negative,Weak,Negative,Negative,Moderate,Negative
ENSG00000178821,Negative,Negative,Negative,Weak,Negative,Weak
ENSG00000178826,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000178852,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000178896,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000178917,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000178921,Weak,Weak,Negative,Moderate,Moderate,Negative
ENSG00000178932,Moderate,Strong,Negative,Weak,Weak,Weak
ENSG00000178934,Negative,Weak,Negative,Weak,Moderate,Negative
ENSG00000178950,Moderate,Weak,Weak,Moderate,Moderate,Moderate
ENSG00000178952,Weak,Strong,Negative,Moderate,Weak,Negative
ENSG00000178965,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000178996,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000178997,Negative,Weak,Negative,Moderate,Weak,Negative
ENSG00000179010,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000179021,Strong,Strong,Moderate,Strong,Moderate,Strong
ENSG00000179044,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000179057,Weak,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000179058,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000179104,Strong,Strong,Negative,Moderate,Strong,Moderate
ENSG00000179144,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000179218,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000179299,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000179388,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000179399,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000179403,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000179407,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000179455,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000179562,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000179604,Moderate,Moderate,Strong,Strong,Weak,Moderate
ENSG00000179774,Negative,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000179833,Moderate,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000179840,Negative,Moderate,Negative,Negative,Weak,Negative
ENSG00000179889,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000179954,Negative,Negative,Negative,Moderate,Moderate,Negative
ENSG00000180011,Moderate,Strong,Negative,Weak,Moderate,Negative
ENSG00000180066,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000180098,Moderate,Strong,Negative,Moderate,Strong,Moderate
ENSG00000180113,Moderate,Strong,Negative,Strong,Moderate,Weak
ENSG00000180155,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000180287,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000180329,Weak,Negative,Negative,Negative,Negative,Weak
ENSG00000180336,Moderate,Moderate,Strong,Moderate,Moderate,Strong
ENSG00000180353,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000180354,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000180447,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000180532,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000180539,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000180543,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000180667,Weak,Moderate,Weak,Strong,Moderate,Moderate
ENSG00000180739,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000180758,Moderate,Negative,Moderate,Moderate,Negative,Moderate
ENSG00000180773,Moderate,Moderate,Strong,Strong,Moderate,Moderate
ENSG00000180785,Negative,Weak,Negative,Moderate,Strong,Moderate
ENSG00000180787,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000180834,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000180855,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000180884,Moderate,Moderate,Moderate,Strong,Strong,Moderate
ENSG00000180891,Moderate,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000180900,Moderate,Strong,Negative,Moderate,Moderate,Weak
ENSG00000180921,Negative,Weak,Weak,Weak,Moderate,Weak
ENSG00000180929,Weak,Weak,Weak,Moderate,Moderate,Weak
ENSG00000180998,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000180999,Weak,Moderate,Moderate,Strong,Moderate,Negative
ENSG00000181013,Negative,Weak,Negative,Weak,Negative,Weak
ENSG00000181023,Negative,Moderate,Strong,Strong,Weak,Strong
ENSG00000181031,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000181039,Moderate,Weak,Negative,Negative,Moderate,Moderate
ENSG00000181045,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000181072,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000181092,Weak,Negative,Weak,Weak,Negative,Negative
ENSG00000181143,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000181222,Strong,Strong,Moderate,Strong,Strong,Weak
ENSG00000181284,Moderate,Negative,Weak,Weak,Negative,Negative
ENSG00000181323,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000181350,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000181381,Moderate,Moderate,Moderate,Weak,Strong,Negative
ENSG00000181458,Negative,Moderate,Negative,Negative,Negative,Weak
ENSG00000181481,Weak,Negative,Negative,Negative,Weak,Negative
ENSG00000181523,Weak,Weak,Weak,Moderate,Moderate,Weak
ENSG00000181610,Weak,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000181666,Negative,Moderate,Strong,Weak,Strong,Moderate
ENSG00000181786,Moderate,Moderate,Negative,Strong,Moderate,Strong
ENSG00000181827,Moderate,Negative,Moderate,Negative,Negative,Weak
ENSG00000181873,Moderate,Moderate,Negative,Negative,Weak,Moderate
ENSG00000181877,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000181991,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000182010,Moderate,Moderate,Weak,Moderate,Negative,Moderate
ENSG00000182040,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000182087,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000182095,Negative,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000182132,Moderate,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000182134,Moderate,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000182150,Moderate,Moderate,Moderate,Weak,Moderate,Weak
ENSG00000182154,Moderate,Moderate,Strong,Strong,Moderate,Moderate
ENSG00000182156,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000182168,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000182199,Negative,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000182208,Moderate,Weak,Weak,Moderate,Moderate,Weak
ENSG00000182224,Negative,Moderate,Moderate,Moderate,Negative,Moderate
ENSG00000182247,Moderate,Weak,Negative,Moderate,Weak,Weak
ENSG00000182255,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000182271,Moderate,Weak,Weak,Strong,Moderate,Strong
ENSG00000182307,Negative,Moderate,Negative,Weak,Weak,Weak
ENSG00000182326,Moderate,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000182329,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000182348,Weak,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000182352,Moderate,Moderate,Strong,Moderate,Moderate,Strong
ENSG00000182362,Strong,Strong,Moderate,Weak,Weak,Moderate
ENSG00000182446,Strong,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000182463,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000182473,Moderate,Moderate,Weak,Moderate,Moderate,Strong
ENSG00000182481,Moderate,Moderate,Weak,Moderate,Negative,Moderate
ENSG00000182489,Weak,Strong,Negative,Strong,Moderate,Strong
ENSG00000182500,Weak,Negative,Negative,Negative,Weak,Moderate
ENSG00000182541,Moderate,Moderate,Weak,Weak,Negative,Weak
ENSG00000182551,Moderate,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000182552,Weak,Strong,Negative,Moderate,Weak,Negative
ENSG00000182557,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000182631,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000182645,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000182670,Moderate,Moderate,Weak,Weak,Weak,Moderate
ENSG00000182685,Negative,Moderate,Negative,Negative,Weak,Negative
ENSG00000182687,Negative,Moderate,Negative,Weak,Moderate,Weak
ENSG00000182712,Moderate,Moderate,Moderate,Strong,Strong,Strong
ENSG00000182747,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000182782,Weak,Weak,Negative,Weak,Weak,Negative
ENSG00000182793,Strong,Negative,Strong,Strong,Strong,Strong
ENSG00000182824,Negative,Moderate,Weak,Moderate,Weak,Negative
ENSG00000182938,Moderate,Moderate,Negative,Negative,Moderate,Weak
ENSG00000183034,Negative,Moderate,Negative,Negative,Weak,Negative
ENSG00000183060,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000183077,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000183128,Moderate,Strong,Negative,Weak,Weak,Strong
ENSG00000183137,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000183155,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000183172,Weak,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000183230,Moderate,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000183258,Moderate,Strong,Negative,Moderate,Weak,Negative
ENSG00000183317,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000183421,Negative,Negative,Negative,Negative,Weak,Moderate
ENSG00000183431,Moderate,Strong,Moderate,Strong,Moderate,Strong
ENSG00000183484,Weak,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000183486,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000183549,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000183570,Moderate,Strong,Negative,Strong,Moderate,Moderate
ENSG00000183605,Weak,Moderate,Weak,Weak,Moderate,Negative
ENSG00000183615,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000183628,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000183632,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000183653,Weak,Strong,Strong,Strong,Negative,Moderate
ENSG00000183655,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000183665,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000183684,Strong,Strong,Weak,Strong,Strong,Strong
ENSG00000183688,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000183723,Strong,Weak,Weak,Weak,Moderate,Moderate
ENSG00000183735,Moderate,Negative,Moderate,Moderate,Negative,Weak
ENSG00000183742,Strong,Strong,Strong,Moderate,Moderate,Moderate
ENSG00000183748,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000183779,Negative,Weak,Negative,Weak,Negative,Weak
ENSG00000183783,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000183784,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000183801,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000183808,Moderate,Strong,Moderate,Weak,Strong,Moderate
ENSG00000183813,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000183814,Weak,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000183831,Moderate,Negative,Moderate,Strong,Strong,Moderate
ENSG00000183840,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000183853,Weak,Weak,Negative,Moderate,Moderate,Negative
ENSG00000183856,Moderate,Strong,Negative,Strong,Moderate,Moderate
ENSG00000183978,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000184029,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000184156,Moderate,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000184162,Weak,Weak,Weak,Weak,Negative,Weak
ENSG00000184163,Weak,Moderate,Weak,Negative,Moderate,Negative
ENSG00000184182,Weak,Weak,Moderate,Moderate,Weak,Moderate
ENSG00000184185,Negative,Negative,Weak,Weak,Weak,Negative
ENSG00000184205,Weak,Weak,Negative,Weak,Weak,Weak
ENSG00000184210,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000184221,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000184304,Strong,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000184321,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000184357,Weak,Negative,Moderate,Moderate,Negative,Negative
ENSG00000184361,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000184374,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000184385,Strong,Moderate,Moderate,Moderate,Strong,Strong
ENSG00000184408,Moderate,Moderate,Strong,Strong,Moderate,Moderate
ENSG00000184428,Strong,Strong,Strong,Moderate,Strong,Moderate
ENSG00000184432,Negative,Negative,Moderate,Negative,Negative,Negative
ENSG00000184445,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000184500,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000184524,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184544,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000184545,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184560,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184564,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000184566,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000184608,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184613,Negative,Weak,Negative,Moderate,Negative,Weak
ENSG00000184619,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184647,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000184650,Strong,Negative,Moderate,Moderate,Negative,Moderate
ENSG00000184661,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000184697,Moderate,Moderate,Moderate,Moderate,Negative,Negative
ENSG00000184716,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000184731,Weak,Negative,Weak,Moderate,Negative,Weak
ENSG00000184792,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000184809,Moderate,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000184825,Weak,Weak,Moderate,Weak,Weak,Negative
ENSG00000184857,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184863,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000184867,Negative,Weak,Negative,Weak,Moderate,Negative
ENSG00000184887,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000184900,Strong,Weak,Weak,Negative,Moderate,Negative
ENSG00000184903,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000184909,Weak,Moderate,Negative,Weak,Strong,Moderate
ENSG00000184916,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000184922,Weak,Negative,Negative,Negative,Negative,Negative
ENSG00000184925,Negative,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000185000,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000185015,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000185019,Moderate,Moderate,Moderate,Weak,Negative,Negative
ENSG00000185022,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000185028,Negative,Negative,Negative,Weak,Weak,Negative
ENSG00000185038,Negative,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000185053,Moderate,Moderate,Weak,Negative,Moderate,Moderate
ENSG00000185055,Moderate,Strong,Moderate,Strong,Weak,Moderate
ENSG00000185068,Weak,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000185069,Negative,Moderate,Weak,Moderate,Negative,Negative
ENSG00000185104,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000185187,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000185189,Strong,Negative,Moderate,Moderate,Moderate,Weak
ENSG00000185219,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000185220,Weak,Moderate,Negative,Moderate,Weak,Weak
ENSG00000185238,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000185261,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000185262,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000185269,Moderate,Moderate,Negative,Negative,Negative,Weak
ENSG00000185278,Strong,Strong,Negative,Weak,Moderate,Strong
ENSG00000185359,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000185436,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000185467,Weak,Moderate,Weak,Moderate,Negative,Negative
ENSG00000185504,Weak,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000185518,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000185519,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000185585,Weak,Negative,Negative,Negative,Negative,Negative
ENSG00000185619,Strong,Strong,Weak,Strong,Moderate,Strong
ENSG00000185621,Moderate,Moderate,Negative,Weak,Moderate,Weak
ENSG00000185624,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000185658,Moderate,Moderate,Moderate,Strong,Strong,Strong
ENSG00000185662,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000185681,Moderate,Strong,Weak,Strong,Moderate,Moderate
ENSG00000185736,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000185742,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000185774,Negative,Weak,Weak,Weak,Weak,Negative
ENSG00000185792,Negative,Moderate,Negative,Moderate,Negative,Weak
ENSG00000185813,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000185838,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000185842,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000185860,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000185864,Moderate,Moderate,Weak,Strong,Moderate,Moderate
ENSG00000185873,Moderate,Moderate,Moderate,Weak,Strong,Moderate
ENSG00000185888,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000185899,Moderate,Strong,Negative,Negative,Negative,Moderate
ENSG00000185917,Weak,Moderate,Weak,Weak,Moderate,Weak
ENSG00000185942,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000185963,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000185972,Moderate,Strong,Strong,Strong,Strong,Moderate
ENSG00000185973,Weak,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000186017,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000186020,Negative,Negative,Weak,Moderate,Negative,Negative
ENSG00000186051,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000186063,Weak,Negative,Negative,Negative,Negative,Weak
ENSG00000186075,Negative,Weak,Weak,Moderate,Weak,Negative
ENSG00000186088,Strong,Moderate,Strong,Moderate,Negative,Moderate
ENSG00000186141,Moderate,Strong,Strong,Strong,Moderate,Moderate
ENSG00000186150,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000186166,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000186174,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000186185,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000186187,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000186205,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000186222,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000186265,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000186281,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000186283,Moderate,Moderate,Moderate,Moderate,Strong,Negative
ENSG00000186310,Negative,Weak,Negative,Moderate,Moderate,Weak
ENSG00000186326,Negative,Negative,Negative,Moderate,Weak,Negative
ENSG00000186352,Moderate,Moderate,Weak,Strong,Strong,Moderate
ENSG00000186364,Negative,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000186377,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000186409,Strong,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000186432,Moderate,Weak,Strong,Strong,Weak,Strong
ENSG00000186469,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000186472,Strong,Strong,Negative,Moderate,Strong,Negative
ENSG00000186474,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000186501,Weak,Weak,Moderate,Negative,Negative,Moderate
ENSG00000186517,Negative,Weak,Negative,Moderate,Moderate,Negative
ENSG00000186532,Negative,Moderate,Weak,Moderate,Weak,Weak
ENSG00000186577,Weak,Weak,Weak,Strong,Negative,Weak
ENSG00000186625,Moderate,Moderate,Moderate,Weak,Moderate,Moderate
ENSG00000186638,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000186648,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000186660,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000186665,Negative,Negative,Moderate,Moderate,Negative,Weak
ENSG00000186666,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000186675,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000186715,Negative,Negative,Moderate,Negative,Weak,Negative
ENSG00000186716,Moderate,Negative,Moderate,Moderate,Moderate,Moderate
ENSG00000186812,Moderate,Negative,Negative,Moderate,Moderate,Moderate
ENSG00000186889,Moderate,Strong,Negative,Negative,Moderate,Weak
ENSG00000186907,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000186967,Negative,Moderate,Negative,Weak,Moderate,Negative
ENSG00000186970,Negative,Moderate,Weak,Negative,Negative,Negative
ENSG00000186980,Moderate,Moderate,Strong,Strong,Moderate,Moderate
ENSG00000187003,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000187024,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000187091,Weak,Strong,Moderate,Negative,Moderate,Moderate
ENSG00000187109,Negative,Strong,Negative,Negative,Negative,Weak
ENSG00000187140,Moderate,Weak,Moderate,Negative,Moderate,Weak
