GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000158014,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000158019,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000158062,Weak,Moderate,Weak,Weak,Weak,Weak
ENSG00000158079,Moderate,Moderate,Negative,Negative,Moderate,Weak
ENSG00000158089,Moderate,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000158106,Moderate,Moderate,Strong,Strong,Moderate,Weak
ENSG00000158122,Weak,Weak,Weak,Weak,Moderate,Weak
ENSG00000158158,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000158163,Moderate,Moderate,Negative,Moderate,Negative,Negative
ENSG00000158195,Negative,Moderate,Negative,Strong,Negative,Negative
ENSG00000158258,Weak,Weak,Negative,Weak,Negative,Negative
ENSG00000158286,Moderate,Strong,Strong,Strong,Strong,Strong
ENSG00000158301,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000158411,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000158423,Moderate,Weak,Weak,Negative,Negative,Moderate
ENSG00000158428,Weak,Moderate,Negative,Moderate,Weak,Weak
ENSG00000158457,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000158485,Moderate,Strong,Moderate,Moderate,Strong,Strong
ENSG00000158516,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000158525,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000158526,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000158528,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000158552,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000158560,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000158683,Negative,Moderate,Weak,Weak,Negative,Moderate
ENSG00000158711,Weak,Weak,Negative,Moderate,Weak,Weak
ENSG00000158715,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000158716,Moderate,Strong,Negative,Weak,Moderate,Moderate
ENSG00000158747,Weak,Strong,Weak,Moderate,Weak,Moderate
ENSG00000158805,Weak,Moderate,Weak,Weak,Negative,Weak
ENSG00000158816,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000158828,Weak,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000158856,Negative,Negative,Weak,Negative,Negative,Weak
ENSG00000158859,Weak,Weak,Weak,Moderate,Moderate,Weak
ENSG00000158863,Moderate,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000158869,Weak,Weak,Weak,Strong,Negative,Weak
ENSG00000158874,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000158941,Weak,Weak,Weak,Weak,Weak,Weak
ENSG00000158987,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000159055,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000159069,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000159079,Negative,Weak,Moderate,Weak,Weak,Negative
ENSG00000159110,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000159111,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000159140,Moderate,Moderate,Negative,Moderate,Weak,Strong
ENSG00000159166,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000159167,Weak,Weak,Negative,Weak,Weak,Negative
ENSG00000159173,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000159182,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000159208,Negative,Moderate,Negative,Moderate,Moderate,Weak
